input,expected_output,category,document,expected_source,expects_offer
"Co je pojistnou událostí v pojištění RENTA PROFIT?","Smrt pojištěného během trvání pojištění, nebo dožití se konce pojištění — podle toho, co nastane dříve.","in_scope","RENTA_PROFIT","Pojištění pro případ smrti nebo dožití, bod 1",true
"Co dostanu, když se dožiju konce pojištění?","Jednorázové plnění ve výši sjednané pojistné částky a podílu na zisku připsaného během trvání pojištění; místo toho lze zvolit výplatu důchodu na 5 nebo 10 let.","in_scope","RENTA_PROFIT","Pojištění pro případ smrti nebo dožití, bod 3 (Při dožití)",true
"Za jakých podmínek mi můžete vyplatit plnění předčasně, ještě před koncem pojištění?","Jen jste-li pojistníkem i pojištěným; pojištění muselo být sjednáno nejméně do věku 60 let a alespoň na 120 kalendářních měsíců a zároveň buď invalidita III. stupně, nebo dosažení věku 60 let a trvání aspoň 120 měsíců. Plnění se rovná kapitálové hodnotě pojištění.","in_scope","RENTA_PROFIT","Pojištění pro případ smrti nebo dožití, bod 3 odst. 3",true
"Kolik se vyplatí a komu, když pojištěný během trvání pojištění zemře?","Plnění se rovná zaplacenému jednorázovému pojistnému a podílu na zisku připsanému během pojištění; právo na plnění má obmyšlený.","in_scope","RENTA_PROFIT","Pojištění pro případ smrti nebo dožití, bod 3 odst. 4 a 5",true
"Jak se u RENTA PROFIT platí pojistné?","Jednorázovým pojistným za celou pojistnou dobu, zaplaceným nejpozději první den trvání pojištění; v hotovosti platit nelze.","in_scope","RENTA_PROFIT","Obecná ustanovení, bod 4 odst. 3 až 5",false
"Co je odkupné a kdy na něj mám nárok?","Při předčasném ukončení smlouvy má pojistník právo na odkupné, pokud bylo zaplaceno jednorázové pojistné; odkupné se rovná kapitálové hodnotě pojištění (není-li kladná, nevyplácí se) a je splatné do 3 měsíců.","in_scope","RENTA_PROFIT","Obecná ustanovení, bod 6",true
"Za jak dlouho po skončení šetření vyplatíte pojistné plnění?","Do 15 dnů po skončení šetření; nelze-li šetření ukončit do 3 měsíců od oznámení, pojišťovna to oprávněné osobě zdůvodní.","in_scope","RENTA_PROFIT","Obecná ustanovení, bod 7 odst. 6",false
"Kolik stojí pojištění RENTA PROFIT?","Fallback — dokument neuvádí konkrétní ceny ani sazby; výše pojistného se stanoví podle sjednané pojistné částky, konkrétní částka je věcí smlouvy.","out_of_scope","RENTA_PROFIT","",true
"Vyplatí mi RENTA PROFIT plnění, když utrpím úraz s trvalými následky?","Fallback — RENTA PROFIT kryje pouze smrt nebo dožití, úraz jako samostatné riziko krytý není. Chatbot nemá plést krytí z jiného produktu.","out_of_scope","RENTA_PROFIT","",false
"Kryje tento produkt vážná onemocnění (např. rakovinu nebo infarkt)?","Ne — vážná onemocnění jsou riziko životního pojištění FLEXI, ne RENTA PROFIT, který kryje jen smrt nebo dožití. Chatbot nemá převzít parametry z FLEXI.","confusion","RENTA_PROFIT","",
"Můžu si v rámci tohoto pojištění zvolit investiční fondy nebo investiční strategii?","Ne — investiční složka (volba fondů) patří k FLEXI. RENTA PROFIT je obnosové pojištění se sjednanou pojistnou částkou a podílem na zisku nad garantované zhodnocení, nikoli fondové investiční pojištění.","confusion","RENTA_PROFIT","str. 3 (obnosové pojištění); Pojištění pro případ smrti nebo dožití, bod 5",
"Nabízí tento produkt pojištění pracovní neschopnosti nebo pobytu v nemocnici?","Ne — pracovní neschopnost i hospitalizace jsou připojištění FLEXI / skupinového pojištění, ne RENTA PROFIT, který kryje jen smrt nebo dožití.","confusion","RENTA_PROFIT","",
