input,expected_output,category,document,expected_source,expects_offer
"Co kryje pojištění léčebných výloh v zahraničí a jako jaký typ se sjednává?","Sjednává se jako pojištění škodové; kryje náklady na neodkladné a nutné ošetření v zahraničí při akutním onemocnění nebo úrazu vzniklém během cesty, včetně repatriace do ČR.","in_scope","M-750","Pojištění léčebných výloh v zahraničí, bod 1",true
"O jak dlouho lze prodloužit pojištění léčebných výloh, když se kvůli zdravotnímu stavu nemůžu vrátit do ČR?","Se souhlasem pojišťovny nebo asistenční společnosti až do dne, kdy je návrat možný, maximálně však o 6 týdnů.","in_scope","M-750","Pojištění léčebných výloh v zahraničí, bod 1 odst. 2",true
"Do jaké částky můžu ošetření v zahraničí uhradit sám bez kontaktování asistenční společnosti?","Náklady nepřevyšující 3 000 Kč lze uhradit bez kontaktu s asistenční společností; při úhradě nad 3 000 Kč bez jejího předchozího souhlasu pojišťovna nemusí plnit.","in_scope","M-750","Pojištění léčebných výloh v zahraničí, bod 9 odst. 1 písm. e",true
"Vztahuje se pojištění na rekreační lyžování na sjezdovce a na závody?","Rekreační provozování běžných sportů (vč. lyžování na vyznačených sjezdovkách) je kryto vždy; na závody a na rizikovější sporty (aktivní/organizovaný/extrémní sport) jen tehdy, je-li příslušný rozsah sjednán ve smlouvě.","in_scope","M-750","Pojištění léčebných výloh v zahraničí, bod 2",true
"Kdy vzniká nárok na plnění za trvalé následky úrazu?","Úraz musí do 3 let zanechat trvalé následky a nárok vznikne jen tehdy, dosáhne-li jejich celkové ohodnocení podle oceňovací tabulky alespoň 5 %.","in_scope","M-750","Úrazové pojištění, bod 2 odst. 1 a odst. 6",true
"Kolik pojišťovna plní za úraz při dopravní nehodě?","Ve výši dvojnásobku plnění za trvalé následky — za podmínek, že jste byl ošetřen záchrannou službou na místě nebo do 24 hodin po nehodě a nehoda byla neprodleně šetřena policií se záznamem.","in_scope","M-750","Úrazové pojištění, bod 3",true
"Za jak dlouhou hospitalizaci dostanu kompenzaci a jaká je maximální plněná doba?","Pojistnou událostí je hospitalizace minimálně 3 dny (2 noci); plnění se poskytne maximálně za 15 dnů hospitalizace.","in_scope","M-750","Úrazové pojištění, bod 5",true
"Jsou z pojištění zavazadel kryté peníze a cennosti?","Ne — pojištění se nevztahuje na peníze, ceniny, drahé kovy, perly a drahokamy (kromě snubních prstenů), platební karty ani na drobné luxusní předměty nad 20 000 Kč za kus.","in_scope","M-750","Pojištění zavazadel, bod 3",true
"Za jakých podmínek je kryté odcizení věcí z auta?","Krádež z vozidla je krytá jen tehdy, byly-li věci v uzamčeném zavazadlovém prostoru, nebyly zvnějšku viditelné a pachatel prokazatelně překonal překážku.","in_scope","M-750","Pojištění zavazadel, bod 2 odst. 2",true
"Kdy mám nárok z pojištění zpoždění zavazadel a z pojištění zpoždění letu?","U zpoždění řádně registrovaných zavazadel nejméně o 6 hodin; u zpoždění letu při zpoždění odletu nejméně o 6 hodin nebo zrušení letu nejpozději 2 hodiny před odletem.","in_scope","M-750","Pojištění zpoždění zavazadel, bod 1 a Pojištění zpoždění letu, bod 1",true
