input,expected_output,category,document,expected_source,expects_offer
"Pro koho je skupinové pojištění určeno a jak se sjednává?","V jedné pojistné smlouvě se pojištění sjednává pro více osob; pojistník musí mít pojistný zájem na životě a zdraví pojištěných, kteří se sjednáním souhlasí.","in_scope","skupinove_pojisteni","Obecná ustanovení, bod 2 (Pojistný zájem) a bod 3 odst. 1",true
"Jaká je čekací doba u pojištění pro případ smrti a platí výluka sebevraždy?","Čekací doba 2 měsíce (neuplatní se u smrti výlučně následkem úrazu); plnění se neposkytne, zemře-li pojištěný v důsledku sebevraždy nebo sebepoškození do 2 let od počátku pojištění (resp. od zvýšení pojistné částky).","in_scope","skupinove_pojisteni","Pojištění pro případ smrti, bod 2 a bod 5",true
"Je u pojištění smrti následkem úrazu čekací doba?","Ne — pro toto pojištění není stanovena žádná čekací doba; úraz musí do 3 let zapříčinit smrt, plnění se vyplácí obmyšlenému ve výši sjednané pojistné částky.","in_scope","skupinove_pojisteni","Smrt následkem úrazu, bod 1 a bod 2",true
"V jakých variantách lze sjednat pojištění trvalých následků úrazu?","Podle minimálního procenta plnění: od 0,1 % (jakékoli úrazy) nebo až od 10 %, resp. 25 % (závažnější úrazy za nižší pojistné). Nedosáhne-li ohodnocení sjednaného minima, nárok nevzniká.","in_scope","skupinove_pojisteni","Trvalé následky úrazu, bod 1 odst. 2 a bod 3 odst. 7",true
"Jaká je čekací doba u pojištění invalidity následkem úrazu nebo nemoci?","18 měsíců u invalidity prvního stupně a 12 měsíců u druhého nebo třetího stupně; při invaliditě výlučně následkem úrazu se neuplatňuje.","in_scope","skupinove_pojisteni","Invalidita následkem úrazu nebo nemoci, bod 2",true
"Kolik se plní u invalidity třetího stupně se současně sníženou soběstačností?","Ve výši dvojnásobku aktuální pojistné částky (resp. důchodu).","in_scope","skupinove_pojisteni","Invalidita následkem úrazu nebo nemoci, bod 3 odst. 3",true
"V jakých variantách lze sjednat pojištění vážných onemocnění?","Ve variantách BASIC, STANDARD a EXCLUSIVE, každá zvlášť pro dospělé osoby i pro děti.","in_scope","skupinove_pojisteni","Vážná onemocnění, bod 1 odst. 1",true
"Jaká je čekací doba u vážných onemocnění a platí podmínka přežití?","Čekací doba 2 měsíce (u události výlučně následkem úrazu se neuplatňuje). Podmínkou plnění je, že pojištěný nezemře do 30 dnů od potvrzení diagnózy nebo podstoupení operace.","in_scope","skupinove_pojisteni","Vážná onemocnění, bod 1 odst. 3 a bod 2",true
"Kolik se plní za rakovinu vykazující rané maligní změny?","30 % aktuální pojistné částky (jednou za trvání pojištění); za ostatní vážná onemocnění ze Seznamu 100 % podle sjednané varianty (u některých jen částečné plnění).","in_scope","skupinove_pojisteni","Vážná onemocnění, bod 3 odst. 2",true
"Za jak dlouhou hospitalizaci se plní a jaká je maximální doba?","Denní plnění se násobí koeficientem navýšení: prvních 30 dnů 1, 31.–90. den 1,5, od 91. dne 2. Maximální doba, za kterou se plní, je 1 000 dnů.","in_scope","skupinove_pojisteni","Pobyt v nemocnici následkem úrazu nebo nemoci, bod 3",true
"Jaká je čekací doba u hospitalizace a mění se u zubů nebo porodu?","Základní 2 měsíce; u hospitalizace kvůli zubům, zubním náhradám či čelistní ortopedii/chirurgii 6 měsíců a u těhotenství a porodu 8 měsíců. U hospitalizace výlučně následkem úrazu se neuplatňuje.","in_scope","skupinove_pojisteni","Pobyt v nemocnici následkem úrazu nebo nemoci, bod 2",true
"Kolik stojí skupinové pojištění na jednoho zaměstnance?","Fallback — dokument neuvádí ceny ani sazby pojistného; výše je věcí konkrétní pojistné smlouvy.","out_of_scope","skupinove_pojisteni","",true
"Kryje skupinové pojištění škodu na majetku firmy nebo odpovědnost zaměstnavatele?","Fallback / opatrná odpověď — skupinové pojištění je pojištění osob (život, úraz, nemoc); majetek firmy ani odpovědnost zaměstnavatele neřeší.","out_of_scope","skupinove_pojisteni","",false
"Má skupinové pojištění investiční nebo spořicí složku jako FLEXI?","Ne — skupinové pojištění je čistě rizikové pojištění osob; nemá investiční složku ani kapitálovou hodnotu tvořenou fondy jako FLEXI.","confusion","skupinove_pojisteni","",
"Je čekací doba u invalidity ve skupinovém pojištění stejná jako ve FLEXI?","Ne — ve FLEXI není u invalidity žádná čekací doba, kdežto ve skupinovém pojištění je 18 měsíců (I. stupeň) nebo 12 měsíců (II./III. stupeň).","confusion","skupinove_pojisteni","Skupinové – Invalidita, bod 2 vs. FLEXI – Invalidita, bod 4",
"Jsou varianty vážných onemocnění stejné jako ve FLEXI?","Ne — skupinové používá varianty BASIC/STANDARD/EXCLUSIVE (pro dospělé i děti), zatímco FLEXI Základní (11)/Kompletní (65)/PRO NI/PRO NĚJ.","confusion","skupinove_pojisteni","Skupinové – Vážná onemocnění, bod 1 vs. FLEXI – Vážná onemocnění, bod 1",
