input,expected_output,category,document,expected_source,expects_offer
"Jaké varianty pojištění bytového domu si mohu sjednat?","Základní varianty PRIMA a KOMFORT; k variantě PRIMA lze navíc sjednat připojištění PRIMA PLUS. KOMFORT kryje nad rámec živelních nebezpečí i krádež, loupež, vandalismus, přepětí/podpětí/zkrat, zatečení srážek apod.","in_scope","VPP M-200_23","VPP M-200_23, část 2 a čl. 23; IPID",true
"Kolik mi pojišťovna uhradí za náhradní ubytování, když se byt v pojištěném bytovém domě stane následkem pojistné události neobyvatelným?","Ve variantě KOMFORT do 25 000 Kč na náhradní ubytování obyvatel jednoho bytu, nejvýše však 250 000 Kč za obyvatele všech takových bytů.","in_scope","VPP M-200_23","VPP M-200_23, čl. 29 odst. 13 písm. c)",true
"Jsem krytý, když povodeň poškodí dům pět dní po sjednání pojištění?","Ne — nastane-li škoda následkem povodně do 10 dnů po uzavření smlouvy, pojišťovna z této události neplní.","in_scope","VPP M-200_23","VPP M-200_23, čl. 8 odst. 3 (shodně VPP M-100_23, čl. 8 odst. 3; IPID)",true
"Jaká je spoluúčast u pojištění elektromotorů a jaký je jejich roční limit plnění?","Spoluúčast 10 % z celkové výše pojistného plnění; limit plnění ze všech pojistných událostí v jednom pojistném roce činí 50 000 Kč.","in_scope","VPP M-200_23","VPP M-200_23, čl. 29 odst. 10",true
"Co se podle podmínek považuje za „bytový dům""?","Budova se čtyřmi a více samostatnými byty, ve které nejméně třetina podlahové plochy slouží k trvalému obývání (není-li v pojistné smlouvě ujednáno jinak).","in_scope","VPP M-200_23","VPP M-200_23, čl. 44 odst. 3",
"Do kdy můžu vypovědět smlouvu po jejím uzavření a jaká je výpovědní doba?","Do dvou měsíců ode dne uzavření pojistné smlouvy; pojištění zanikne uplynutím osmidenní výpovědní doby.","in_scope","","Informace pro klienta, kap. 7 (shodné ustanovení je i v ostatních produktech, např. VPP M-200_23, čl. 4 odst. 3)",false
"Za jak dlouho po skončení šetření vyplatíte pojistné plnění?","Do 15 dnů ode dne skončení šetření nutného ke zjištění existence a rozsahu povinnosti plnit. Samotné šetření má skončit do 3 měsíců od oznámení.","in_scope","VPP M-200_23","VPP M-200_23, čl. 12 odst. 3 (shodně VPP M-100_23, čl. 12 odst. 3)",false
"Můžu uplatnit připojištění prodloužené záruky na osmiletou pračku?","Ne — spotřebič nesmí být starší 6 let (počítáno od doloženého data zakoupení jako nové věci). Pračka mezi kryté spotřebiče patří, ale stáří 8 let nárok vylučuje.","in_scope","VPP M-100_23","VPP M-100_23, čl. 31 odst. 2 a odst. 3 písm. b)",true
"Vztahuje se pojištění odpovědnosti v běžném občanském životě i na újmu způsobenou v zahraničí?","Ano — plní se z pojistných událostí, při nichž újma i její příčina nastaly na území celého světa. Odpovědnost z vlastnictví nemovitosti platí jen na území ČR.","in_scope","VPP M-100_23","VPP M-100_23, čl. 37 odst. 7 (a čl. 38 odst. 5)",true
"Jak a kde nahlásím pojišťovně pojistnou událost?","Telefonicky na infolince 957 105 105, online formulářem na www.koop.cz, osobně na pobočce nebo písemně. Při podezření na trestný čin (krádež) volat policii 158, při požáru hasiče 150.","in_scope","","Informace pro klienta, kap. 5 (obdobný postup hlášení popisují i ostatní produkty)",false
"Nabízíte životní pojištění a jaké má krytí?","Ano — dva produkty: RENTA PROFIT (obnosové pojištění pro případ smrti nebo dožití) a FLEXI (komplexní životní pojištění s investiční složkou a řadou zdravotních/úrazových připojištění). Chatbot má oba rozlišit, ne je směšovat.","in_scope","","",true
"Jaký je limit léčebných výloh u vašeho cestovního pojištění?","Podle varianty — KLASIK 10 000 000 Kč, PLUS 100 000 000 Kč na každou pojištěnou osobu (plus dílčí sublimity, např. zásah záchranných složek 500 000 / 1 000 000 Kč).","in_scope","M-750","Předsmluvní informace, Základní informace, bod 13 (Přehled variant pojištění), písm. a), str. 10",true
