input,expected_output,category,document,expected_source,expects_offer
"Jako jaký typ se FLEXI sjednává a má investiční složku?","Většina pojištění ve FLEXI je obnosová (plnění ze sjednané pojistné částky), CESTA KE ZDRAVÍ je škodové; součástí je investiční složka — kapitálová hodnota tvořená podílovými jednotkami fondů.","in_scope","FLEXI","JEDNOTLIVÁ POJIŠTĚNÍ, úvod (str. 4) a část INVESTOVÁNÍ",true
"Jaká je čekací doba u základního pojištění pro případ smrti?","2 měsíce; neuplatňuje se, pokud hlavní pojištěný zemře výlučně následkem úrazu.","in_scope","FLEXI","Základní pojištění pro případ smrti nebo dožití, bod 3",true
"Kolik se vyplatí při smrti hlavního pojištěného?","Součet pojistné částky pro případ smrti hlavního pojištěného a kapitálové hodnoty pojištění; vyplácí se obmyšlenému.","in_scope","FLEXI","Základní pojištění pro případ smrti nebo dožití, bod 4 odst. 6",true
"Co dostanu, když se dožiju konce pojištění?","Jednorázové plnění ve výši kapitálové hodnoty pojištění; na žádost lze vyplácet formou důchodu. Jednorázově se vyplatí i tehdy, když by měsíční důchod nedosáhl 200 Kč.","in_scope","FLEXI","Základní pojištění pro případ smrti nebo dožití, bod 4 (Při dožití)",true
"V jakých variantách lze sjednat pojištění vážných onemocnění?","Základní varianta (11 vážných onemocnění), Kompletní varianta (65), varianta PRO NI (ženy) a varianta PRO NĚJ (muži).","in_scope","FLEXI","Vážná onemocnění, bod 1",true
"Jaká je čekací doba u pojištění vážných onemocnění?","2 měsíce; při pojistné události výlučně následkem úrazu se neuplatňuje.","in_scope","FLEXI","Vážná onemocnění, bod 4",true
"V jakých variantách podle stupně invalidity lze pojištění sjednat a platí čekací doba?","Varianty pro invaliditu III. stupně nebo sníženou soběstačnost, pro II. stupeň a pro I. stupeň. Pro toto pojištění není stanovena žádná čekací doba.","in_scope","FLEXI","Invalidita nebo snížená soběstačnost následkem úrazu nebo nemoci, bod 1 a bod 4",true
"Co je podkladem pro nárok na plnění za invaliditu?","Rozhodnutí příslušného orgánu státní správy, který pojištěného uznal invalidním podle zákona o důchodovém pojištění (u snížené soběstačnosti přiznání II.+ stupně závislosti a příspěvku na péči).","in_scope","FLEXI","Invalidita nebo snížená soběstačnost následkem úrazu nebo nemoci, bod 2",true
"Jaká je čekací doba u pracovní neschopnosti a mění se u komplikací s porodem?","Základní čekací doba 2 měsíce; u stavů a komplikací v souvislosti s porodem 8 měsíců; u pracovní neschopnosti výlučně následkem úrazu se neuplatňuje.","in_scope","FLEXI","Pracovní neschopnost následkem úrazu nebo nemoci, bod 4",true
"Jak dlouho se plní pracovní neschopnost, když se neúčastním nemocenského pojištění?","Maximálně za 548 dnů pracovní neschopnosti z jedné pojistné události.","in_scope","FLEXI","Pracovní neschopnost následkem úrazu nebo nemoci, bod 5 odst. 6",true
"Kdy vznikne nárok u varianty pracovní neschopnosti s plněním od 15. dne?","Plnění náleží jen tehdy, trvá-li pracovní neschopnost déle než 14 dnů (u varianty od 29. dne déle než 28 dnů); je-li kratší, plnění nenáleží.","in_scope","FLEXI","Pracovní neschopnost následkem úrazu nebo nemoci, bod 5",true
"Za jak dlouhou hospitalizaci vzniká nárok a jak roste plnění s délkou pobytu?","Hospitalizace musí trvat alespoň 2 dny; denní plnění se násobí koeficientem navýšení: prvních 30 dnů 1,0, 31.–90. den 1,5, od 91. dne 2,0. Maximální doba není omezena.","in_scope","FLEXI","Pobyt v nemocnici (hospitalizace) následkem úrazu nebo nemoci, bod 4",true
"Jaká je čekací doba u pojištění pobytu v nemocnici (hospitalizace)?","2 měsíce; u stavů a komplikací v souvislosti s porodem 8 měsíců. Neuplatňuje se u hospitalizace výlučně následkem úrazu nebo akutního zánětlivého onemocnění.","in_scope","FLEXI","Pobyt v nemocnici (hospitalizace) následkem úrazu nebo nemoci, bod 3",true
